"subject","performance","count","percentage","task"
"64",41,70,58.5714285714286,"rotation"
"65",58,69,84.0579710144928,"rotation"
"66",49,61,80.327868852459,"rotation"
"68",23,24,95.8333333333333,"rotation"
"69",69,72,95.8333333333333,"rotation"
"70",60,70,85.7142857142857,"rotation"
"71",14,20,70,"rotation"
"73",63,65,96.9230769230769,"rotation"
"74",46,52,88.4615384615385,"rotation"
"75",42,54,77.7777777777778,"rotation"
"76",63,68,92.6470588235294,"rotation"
"77",45,62,72.5806451612903,"rotation"
"78",49,70,70,"rotation"
"79",66,71,92.9577464788732,"rotation"
"80",40,46,86.9565217391304,"rotation"
"81",58,67,86.5671641791045,"rotation"
"82",7,10,70,"rotation"
"83",56,68,82.3529411764706,"rotation"
"84",65,67,97.0149253731343,"rotation"
"85",17,20,85,"rotation"
"86",42,48,87.5,"rotation"
"87",60,66,90.9090909090909,"rotation"
"89",26,42,61.9047619047619,"rotation"
"90",25,45,55.5555555555556,"rotation"
"91",28,39,71.7948717948718,"rotation"
"92",54,66,81.8181818181818,"rotation"
"94",14,23,60.8695652173913,"rotation"
"95",18,23,78.2608695652174,"rotation"
"98",8,8,100,"rotation"
