onset	duration	trial_type	pmod_accuracy	image_fname
502.9745900630951	0.5857598781585693	test	1	obj006apple.png
505.80897998809814	0.7798199653625488	test	1	obj142hook.png
508.76008009910583	0.6735198497772217	test	1	obj285squirrel.png
511.6278100013733	0.9224801063537598	test	1	obj057cherry.png
514.4955501556396	0.756659984588623	test	1	obj160ladder.png
517.1298701763153	1.0746898651123047	test	1	obj011backpack.png
520.0476200580597	0.7432599067687988	test	1	obj025binoculars.png
522.6485900878906	0.7985100746154785	test	1	obj016banjo.png
525.3662700653076	0.8834900856018066	test	0	obj024bicycle.png
528.2173299789429	0.5700900554656982	test	1	obj139highchair.png
531.0850701332092	0.5711698532104492	test	1	obj218pig.png
533.7694001197815	0.7613298892974854	test	1	obj120glasses.png
536.337030172348	0.4212799072265625	test	1	obj317turtle.png
539.1380701065063	0.4638700485229492	test	0	obj153kangaroo.png
