src_subject_id,param_session_id,run_num,param_counterbalance_ver,param_AR_invalid_sequence,param_valid_type,param_cue_location,param_target_location,param_trigger_onset,param_start_biopac,event01_param_jitter,event01_fixation_onset,event01_fixation_onset_biopac,event01_fixation_duration,event02_cue_type,event02_cue_onset,event02_cue_onset_biopac,event02_cue_duration,event03_target_type,event03_target_onset,event03_target_onset_biopac,event04_response_key,event04_response_keyname,event04_response_onset,event04_RT,event04_fixation_remainder_onset,event04_fixation_duration,event05_fixation_onset,event05_fixation_onset_biopac,param_end_instruct_onset,param_end_biopac,param_experiment_duration,RAW_event01_fixation_onset,RAW_event01_fixation_onset_biopac,RAW_event02_cue_onset,RAW_event02_cue_onset_biopac,RAW_event03_target_onset,RAW_event03_target_onset_biopac,RAW_event04_response_onset,RAW_event04_fixation_remainder_onset,RAW_event05_fixation_onset,RAW_event05_fixation_onset_biopac,RAW_param_end_instruct_onset,RAW_param_end_biopac,session_id,accuracy
3,0,1,3,1,invalid,left,right,1614180537.00318,1614180537.0288,0.8,335.438531160355,335.439946174622,0.800408840179443,left,336.255508422852,336.256953954697,0.183152675628662,right,336.455584526062,336.457137107849,2,right,336.777992010117,0.322407484054565,337.289235115051,1.17759251594543,338.473018169403,338.474326133728,596.136393299103,596.138869991302,598.896393299103,1614180869.68171,1614180869.68313,1614180870.49869,1614180870.50014,1614180870.69877,1614180870.70032,1614180871.02117,1614180871.53242,1614180872.7162,1614180872.71751,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,left,left,1614180537.00318,1614180537.0288,4,338.706439733505,338.707472085953,4.00037240982056,left,342.724636554718,342.725589990616,0.181919574737549,left,342.924710035324,342.925791025162,1,left,343.311117172241,0.386407136917114,343.825052499771,1.11359286308289,344.942142963409,344.943103075027,596.136393299103,596.138869991302,598.896393299103,1614180872.94962,1614180872.95065,1614180876.96782,1614180876.96877,1614180877.16789,1614180877.16897,1614180877.5543,1614180878.06823,1614180879.18532,1614180879.18629,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,left,left,1614180537.00318,1614180537.0288,7.2,345.175565004349,345.176331996918,7.20036816596985,left,352.394976615906,352.395791053772,0.180707454681396,left,352.595052242279,352.596204996109,1,left,352.923799037933,0.328746795654297,353.428702354431,1.1712532043457,354.612485647202,354.614082098007,596.136393299103,596.138869991302,598.896393299103,1614180879.41875,1614180879.41951,1614180886.63816,1614180886.63897,1614180886.83823,1614180886.83939,1614180887.16698,1614180887.67188,1614180888.85567,1614180888.85726,1614181135.89958,1614181135.90205,4,1
3,0,1,3,1,invalid,right,left,1614180537.00318,1614180537.0288,2.9,354.845907449722,354.847229003906,2.90041661262512,right,357.763684034348,357.765438079834,0.182339906692505,left,357.963758230209,357.96485209465,1,left,358.285634994507,0.321876764297485,358.797409534454,1.17812323570251,359.98119187355,359.98228597641,596.136393299103,596.138869991302,598.896393299103,1614180889.08909,1614180889.09041,1614180892.00687,1614180892.00862,1614180892.20694,1614180892.20803,1614180892.52882,1614180893.04059,1614180894.22437,1614180894.22547,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,left,left,1614180537.00318,1614180537.0288,1.1,360.214614391327,360.21587896347,1.10040855407715,left,361.331704854965,361.332972049713,0.183047294616699,left,361.531780719757,361.533472061157,NaN,NaN,NaN,NaN,NaN,NaN,363.54921412468,363.550534009933,596.136393299103,596.138869991302,598.896393299103,1614180894.4578,1614180894.45906,1614180895.57489,1614180895.57615,1614180895.77496,1614180895.77665,NaN,NaN,1614180897.7924,1614180897.79372,1614181135.89958,1614181135.90205,4,0
3,0,1,3,1,invalid,right,left,1614180537.00318,1614180537.0288,0.5,363.78263759613,363.783727169037,0.50041937828064,right,364.299499988556,364.301124095917,0.183302164077759,left,364.499576330185,364.501234054565,1,left,364.865035057068,0.365458726882935,365.383245229721,1.13454127311707,366.517009973526,366.518310070038,596.136393299103,596.138869991302,598.896393299103,1614180898.02582,1614180898.02691,1614180898.54268,1614180898.54431,1614180898.74276,1614180898.74442,1614180899.10822,1614180899.62643,1614180900.76019,1614180900.76149,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,right,right,1614180537.00318,1614180537.0288,0.9,366.750431060791,366.751498937607,0.900448083877563,right,367.667447090149,367.668508052826,0.183104038238525,right,367.867523431778,367.869152069092,2,right,368.173766136169,0.306242704391479,368.684499979019,1.19375729560852,369.884956598282,369.886049985886,596.136393299103,596.138869991302,598.896393299103,1614180900.99361,1614180900.99468,1614180901.91063,1614180901.91169,1614180902.11071,1614180902.11233,1614180902.41695,1614180902.92768,1614180904.12814,1614180904.12923,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,right,right,1614180537.00318,1614180537.0288,2.8,370.118377923965,370.119452953339,2.80047607421875,right,372.936115980148,372.940721035004,0.182382106781006,right,373.136192083359,373.137441158295,2,right,373.500983953476,0.364791870117188,374.019861698151,1.13520812988281,375.153625011444,375.157101154327,596.136393299103,596.138869991302,598.896393299103,1614180904.36156,1614180904.36263,1614180907.1793,1614180907.1839,1614180907.37937,1614180907.38062,1614180907.74417,1614180908.26304,1614180909.39681,1614180909.40028,1614181135.89958,1614181135.90205,4,1
3,0,1,3,1,invalid,left,right,1614180537.00318,1614180537.0288,7.2,375.387047290802,375.390331029892,7.20038366317749,left,382.60645866394,382.607483148575,0.180698394775391,right,382.806534528732,382.80753993988,2,right,383.134912014008,0.328377485275269,383.640184640884,1.17162251472473,384.823967695236,384.825159072876,596.136393299103,596.138869991302,598.896393299103,1614180909.63023,1614180909.63351,1614180916.84964,1614180916.85067,1614180917.04972,1614180917.05072,1614180917.37809,1614180917.88337,1614180919.06715,1614180919.06834,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,right,right,1614180537.00318,1614180537.0288,7.2,385.057390451431,385.058580160141,7.20045351982117,right,392.27680182457,392.278541088104,0.180727243423462,right,392.476876735687,392.478219032288,2,right,392.83704996109,0.360173225402832,393.343872785568,1.13982677459717,394.494310855865,394.495030164719,596.136393299103,596.138869991302,598.896393299103,1614180919.30057,1614180919.30176,1614180926.51998,1614180926.52172,1614180926.72006,1614180926.7214,1614180927.08023,1614180927.58705,1614180928.73749,1614180928.73821,1614181135.89958,1614181135.90205,4,1
3,0,1,3,1,invalid,right,left,1614180537.00318,1614180537.0288,0.5,394.727730989456,394.728484153748,0.50048303604126,right,395.244595050812,395.246170043945,0.183248996734619,left,395.444671154022,395.446352958679,1,left,395.941025018692,0.4963538646698,396.461724758148,1.0036461353302,397.462104320526,397.463104009628,596.136393299103,596.138869991302,598.896393299103,1614180928.97091,1614180928.97167,1614180929.48778,1614180929.48935,1614180929.68785,1614180929.68953,1614180930.18421,1614180930.70491,1614180931.70529,1614180931.70629,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,right,right,1614180537.00318,1614180537.0288,4.8,397.695526361465,397.6967689991,4.80041360855103,right,402.514024019241,402.514925003052,0.181613922119141,right,402.714101314545,402.715336084366,2,right,403.021186113358,0.307084798812866,403.531077384949,1.19291520118713,404.731534004211,404.732872009277,596.136393299103,596.138869991302,598.896393299103,1614180931.93871,1614180931.93995,1614180936.75721,1614180936.75811,1614180936.95728,1614180936.95852,1614180937.26437,1614180937.77426,1614180938.97472,1614180938.97605,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,left,left,1614180537.00318,1614180537.0288,5,404.964956283569,404.966213941574,5.0004186630249,left,409.983530521393,409.98464012146,0.181545495986938,left,410.183607339859,410.184834003448,1,left,410.469331026077,0.285723686218262,410.983911275864,1.21427631378174,412.201040267944,412.202235937119,596.136393299103,596.138869991302,598.896393299103,1614180939.20814,1614180939.2094,1614180944.22671,1614180944.22782,1614180944.42679,1614180944.42802,1614180944.71251,1614180945.22709,1614180946.44422,1614180946.44542,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,left,left,1614180537.00318,1614180537.0288,1.3,412.434462308884,412.435778141022,1.30051779747009,left,413.751629590988,413.753180980682,0.182978391647339,left,413.951705694199,413.953312158585,1,left,414.203052043915,0.251346349716187,414.718663215637,1.24865365028381,415.96913933754,415.969964981079,596.136393299103,596.138869991302,598.896393299103,1614180946.67764,1614180946.67896,1614180947.99481,1614180947.99636,1614180948.19489,1614180948.19649,1614180948.44623,1614180948.96185,1614180950.21232,1614180950.21315,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,left,left,1614180537.00318,1614180537.0288,0.6,416.202561855316,416.203808069229,0.600423097610474,left,416.819462537766,416.823979139328,0.183213472366333,left,417.019538640976,417.024327039719,1,left,417.348128080368,0.32858943939209,417.869861364365,1.17141056060791,419.03697180748,419.040636062622,596.136393299103,596.138869991302,598.896393299103,1614180950.44574,1614180950.44699,1614180951.06264,1614180951.06716,1614180951.26272,1614180951.26751,1614180951.59131,1614180952.11304,1614180953.28015,1614180953.28382,1614181135.89958,1614181135.90205,4,1
3,0,1,3,0,valid,right,right,1614180537.00318,1614180537.0288,5,419.270393848419,419.273909091949,5.00039911270142,right,424.288968086243,424.290810108185,0.181544065475464,right,424.489044189453,424.490841150284,2,right,424.907714128494,0.418669939041138,425.42273235321,1.08133006095886,426.506477594376,426.507250070572,596.136393299103,596.138869991302,598.896393299103,1614180953.51358,1614180953.51709,1614180958.53215,1614180958.53399,1614180958.73223,1614180958.73402,1614180959.1509,1614180959.66591,1614180960.74966,1614180960.75043,1614181135.89958,1614181135.90205,4,1
3,0,1,3,1,invalid,right,left,1614180537.00318,1614180537.0288,2.1,426.739900112152,426.741134166718,2.10040688514709,right,428.857371330261,428.858333110809,0.182670831680298,left,429.057447195053,429.05854511261,1,left,429.424546957016,0.367099761962891,429.941116571426,1.13290023803711,431.074880361557,431.076183080673,596.136393299103,596.138869991302,598.896393299103,1614180960.98308,1614180960.98432,1614180963.10055,1614180963.10152,1614180963.30063,1614180963.30173,1614180963.66773,1614180964.1843,1614180965.31806,1614180965.31937,1614181135.89958,1614181135.90205,4,1
3,0,1,3,1,invalid,right,left,1614180537.00318,1614180537.0288,2.9,431.308303594589,431.30945110321,2.90043640136719,right,434.226078271866,434.227239131927,0.182376861572266,left,434.426154613495,434.427315950394,NaN,NaN,NaN,NaN,NaN,NaN,436.443588256836,436.444034099579,596.136393299103,596.138869991302,598.896393299103,1614180965.55149,1614180965.55263,1614180968.46926,1614180968.47042,1614180968.66934,1614180968.6705,NaN,NaN,1614180970.68677,1614180970.68722,1614181135.89958,1614181135.90205,4,0
3,0,1,3,1,invalid,right,left,1614180537.00318,1614180537.0288,0.5,436.677010297775,436.678086996078,0.500405788421631,right,437.193873643875,437.195006132126,0.18325138092041,left,437.393949747086,437.39510512352,1,left,437.724581003189,0.330631256103516,438.244271278381,1.16936874389648,439.411383867264,439.412348985672,596.136393299103,596.138869991302,598.896393299103,1614180970.92019,1614180970.92127,1614180971.43706,1614180971.43819,1614180971.63713,1614180971.63829,1614180971.96776,1614180972.48745,1614180973.65457,1614180973.65553,1614181135.89958,1614181135.90205,4,1
3,0,1,3,1,invalid,right,left,1614180537.00318,1614180537.0288,0.8,439.644805431366,439.645744085312,0.800490617752075,right,440.461782217026,440.462965965271,0.18316388130188,left,440.661858797073,440.663254022598,1,left,440.966513156891,0.304654359817505,441.478835344315,1.1953456401825,442.679291725159,442.68027806282,596.136393299103,596.138869991302,598.896393299103,1614180973.88799,1614180973.88893,1614180974.70496,1614180974.70615,1614180974.90504,1614180974.90644,1614180975.2097,1614180975.72202,1614180976.92247,1614180976.92346,1614181135.89958,1614181135.90205,4,1
3,0,1,3,1,invalid,right,left,1614180537.00318,1614180537.0288,4,442.912713050842,442.91370010376,4.00038695335388,right,446.930908441544,446.932121038437,0.181939601898193,left,447.130984067917,447.131891012192,NaN,NaN,NaN,NaN,NaN,NaN,449.148417234421,449.149544000626,596.136393299103,596.138869991302,598.896393299103,1614180977.15589,1614180977.15688,1614180981.17409,1614180981.1753,1614180981.37417,1614180981.37507,NaN,NaN,1614180983.3916,1614180983.39273,1614181135.89958,1614181135.90205,4,0
3,0,1,3,1,invalid,left,right,1614180537.00318,1614180537.0288,5,449.38184094429,449.382899999619,5.00046110153198,left,454.400414228439,454.404793024063,0.181556940078735,right,454.600490570068,454.601954936981,2,right,454.998425960541,0.397935390472412,455.517505407333,1.10206460952759,456.617923259735,456.619083166122,596.136393299103,596.138869991302,598.896393299103,1614180983.62502,1614180983.62608,1614180988.6436,1614180988.64797,1614180988.84367,1614180988.84514,1614180989.24161,1614180989.76069,1614180990.86111,1614180990.86227,1614181135.89958,1614181135.90205,4,1
